;Квест группа;;;;;;Перечислить квесты текущей квест группы награды которых будут отображены на странице журнала.;Условие старта квеста на странице журанала;Текст на странице журанала после завршения квеста.;;;;;;;;;;;;;;;;;;
ml;string;string;string;string;string;string;array_of_values;string;string;;;;;;;;;;;;;;;;;;
;input;output;title;description;description_complete;description_spoil;extra.quest_reward_prewiew;extra.description_condition;extra.description_complete;;;;;;;;;;;;;;;;;;
;/quest_group/fun/Fun13_Story_1.proto.js;/quest_group/fun/CucumberFestival_2026_pack_001.proto.js;Праздник Главного Огурца;Главный Огурец пропал прямо перед праздником. Помоги Царевне Несмияне, Чингу и Детективу Котовски найти улики, подготовить парад и вернуть главный символ торжества на пьедестал.;Главный Огурец найден, парад подготовлен, а праздник спасён. Улики разобраны, порядок восстановлен, и жители снова готовы отмечать День Огурца.;Если не найти улики и не подготовить парад, Главный Огурец останется пропавшим, а праздник придётся отменить.;;Главный Огурец пропал прямо перед праздником. Помоги Царевне Несмияне, Чингу и Детективу Котовски найти улики, подготовить парад и вернуть главный символ торжества на пьедестал.;Главный Огурец найден, парад подготовлен, а праздник спасён. Улики разобраны, порядок восстановлен, и жители снова готовы отмечать День Огурца.;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Квест 1;;;;;;;;;;;;;;;;;;;;;;;;;;
sl;string;string;string;string;string;string;string;;;;;;;;;;;;;;;;;;;;
;input;output;title;description;congratulation;helper;extra.sequence_icon;;;;;;;;;;;;;;;;;;;;
;/quest/generated/CucumberFestival_2026/story_1/CucumberFestival_2026_Story_1.proto.js;/quest/generated/CucumberFestival_2026/story_1/CucumberFestival_2026_Story_1.proto.js;Слёзы в рассоле;Ах, домовёнок... Какой уж тут Праздник огурца, когда главный огурец исчез, пьедестал пустует, а рассол булькает так печально, будто тоже собирается плакать. Я готовила торжественную речь, но теперь в ней остались одни вздохи. Помоги мне разобраться, что случилось, пока я не объявила этот день Днём Великой Зелёной Печали.;Хм... Значит, огурец не просто укатился от скуки. Следы есть, порядок частично восстановлен, а рассол уже не так трагично вздыхает. Спасибо тебе, домовёнок. Я, конечно, ещё не улыбаюсь, но один уголок губ уже подозрительно дрогнул.;CucumberFestival_2026_Character_1;MagazinePage_CucumberFestival_2026_QuestIcon_1;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 1;Диалог;;;РЕПЛИКА ДИАЛОГА: Ах, домовёнок... Главный огурец исчез, пьедестал пустует, а рассол булькает печальнее меня. Помоги найти следы, пока праздник не стал Днём Великой Зелёной Печали.;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.0;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/CucumberFestival_2026/story_1/CucumberFestival_2026_Story_1.proto.js;/quest/generated/CucumberFestival_2026/story_1/CucumberFestival_2026_Story_1.proto.js;type;action;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;CucumberFestival_2026_Character_1;;;;;;;;;;;;;;;;;;;;;;;
;;;action;CucumberFestival_2026_Character_1_Dialog_1;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Поговори с Царевной Несмияной;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Поговори с Царевной Несмияной. Для этого просто кликни на неё. Она находится в Оранжерея.;;;;;;;;;;;;;;;;;;;;;;;
;;;go_to_location;"[{""classname"":""CucumberFestival_2026_Character_1""}]";;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 2;HOG на локации;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.1;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/CucumberFestival_2026/story_1/CucumberFestival_2026_Story_1.proto.js;/quest/generated/CucumberFestival_2026/story_1/CucumberFestival_2026_Story_1.proto.js;type;action;;;;;;;;;;;;;;;;;;;;;;;
