;Квест группа;;;;;;Перечислить квесты текущей квест группы награды которых будут отображены на странице журнала.;Условие старта квеста на странице журанала;Текст на странице журанала после завршения квеста.;;;;;;;;;;;;;;;;;;
ml;string;string;string;string;string;string;array_of_values;string;string;;;;;;;;;;;;;;;;;;
;input;output;title;description;description_complete;description_spoil;extra.quest_reward_prewiew;extra.description_condition;extra.description_complete;;;;;;;;;;;;;;;;;;
;/quest_group/fun/Fun13_Story_1.proto.js;/quest_group/fun/MeatballRain_2026_pack_002.proto.js;Небесные соленья;Вы попадаете в самый хрустящий переполох сезона: с облачного замка великана на землю летят огурцы, помидорчики и грибочки. Вместе с Лешим, Кощеем и Бабой ягой вам предстоит собрать овощные улики, найти следы в лесу и подготовить бобовый стебель для подъёма к облакам.;Вы нашли следы облачного замка, разобрались с овощной осадой и подготовили крепёж для бобового стебля. Теперь дорога наверх почти готова, а великану скоро объяснят, что закуски лучше держать на столе, а не запускать ими в округу.;Рассольный дождь так и не утих, а бобовый стебель остался только смелой идеей. В следующий раз стоит крепче держать улики, зонтик и Бабу ягу подальше от рецептов для великанов!;;Вы попадаете в самый хрустящий переполох сезона: с облачного замка великана на землю летят огурцы, помидорчики и грибочки. Вместе с Лешим, Кощеем и Бабой ягой вам предстоит собрать овощные улики, найти следы в лесу и подготовить бобовый стебель для подъёма к облакам.;Вы нашли следы облачного замка, разобрались с овощной осадой и подготовили крепёж для бобового стебля. Теперь дорога наверх почти готова, а великану скоро объяснят, что закуски лучше держать на столе, а не запускать ими в округу.;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Квест 4;;;;;;;;;;;;;;;;;;;;;;;;;;
sl;string;string;string;string;string;string;string;;;;;;;;;;;;;;;;;;;;
;input;output;title;description;congratulation;helper;extra.sequence_icon;;;;;;;;;;;;;;;;;;;;
;/quest/generated/MeatballRain_2026/story_4/MeatballRain_2026_Story_4.proto.js;/quest/generated/MeatballRain_2026/story_4/MeatballRain_2026_Story_4.proto.js;Огуречный раскат;Домовёнок, у меня в лесу теперь не роса, а рассол! Огурцы падают с неба так бодро, будто кто-то наверху соленья пересчитывает и всё лишнее выкидывает вниз. Погляди-ка на облака: там, кажется, торчит башня великаньего замка. Надо найти первые следы и понять, куда тянуть наш будущий бобовый стебель.;Следы нашли: огурцы летят не просто так, их сдувает откуда-то с облачного замка. Лес пока спасён от полного хруста, но без лестницы туда не добраться. Бобовый стебель звучит всё менее смешно и всё более как план.;MeatballRain_2026_Character_2;MagazinePage_MeatballRain_2026_QuestIcon_1;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 1;Диалог;;;РЕПЛИКА ДИАЛОГА: Домовёнок, у меня в лесу теперь вместо росы рассол, а в облаках торчит что-то замковое. Огурцы летят строем, будто великан там наверху кладовую проветривает. Пошли искать следы, пока белки не начали мариноваться.;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.0;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/MeatballRain_2026/story_4/MeatballRain_2026_Story_4.proto.js;/quest/generated/MeatballRain_2026/story_4/MeatballRain_2026_Story_4.proto.js;type;action;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;MeatballRain_2026_Character_2;;;;;;;;;;;;;;;;;;;;;;;
;;;action;MeatballRain_2026_Character_2_Dialog_1;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Поговори с Лешим;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Поговори с Лешим. Для этого просто кликни на него. Он находится в локации Темный лес.;;;;;;;;;;;;;;;;;;;;;;;
;;;go_to_location;"[{""classname"":""MeatballRain_2026_Character_2""}]";;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 2;HOG на локации;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
