;ПЕРСОНАЖИ с 1 ЭКШЕНОМ
ml;string;string;string;string;array;int;;;
;input;output;classname;title;behaviour.0.actions;id;;;
;/furniture/Fun/Fun10/Character/Fun10_Character_1_1.proto.js;/furniture/Fun/MusicBoxTown_2026/Character/MusicBoxTown_2026_Character_1.proto.js;MusicBoxTown_2026_Character_1;Часовщик Тик-Так;MusicBoxTown_2026_Character_1_Dialog_1;;;;

;ЭКШЕНЫ ДИАЛОГИ
sl;string;string;string;string;string;string;string;string;int
;input;output;identifier;conditions;stuff_actions.0.window_spec.view_window;stuff_actions.0.window_spec.icon.0.icon_mc;stuff_actions.0.window_spec.text_fields.0.text;stuff_actions.0.window_spec.text_fields.1.text;id
;/quest_action/Fun/Fun10/Fun10_Character_1_1_Dialog_1.proto.js;/quest_action/Fun/MusicBoxTown_2026/MusicBoxTown_2026_Character_1_Dialog_1.proto.js;MusicBoxTown_2026_Character_1_Dialog_1;active_quest=MusicBoxTown_2026_Story_1;Character_Dialog_Window;MusicBoxTown_2026_Character_1;Часовщик Тик-Так;Тик! Так! Тик! Так! Посторонние великаны размером с пуговицу обнаружены у входной дорожки! Прошу не паниковать, паника выбивает расписание на три четверти оборота. Вы уменьшились из-за заводного ключика, который повернули не в ту сторону. Дойдите до площади аккуратно: здесь даже обычная булавка ведёт себя как фонарный столб!;

;ЭКШЕНЫ search
sl;string;string;string;string;replace;;int;;
;input;output;identifier;open_price;find;replace;id;;
;/quest_action/Fun/Fun10/search_Fun10_HOG_1.proto.js;/quest_action/Fun/MusicBoxTown_2026/search_MusicBoxTown_2026_HOG_1.proto.js;search_MusicBoxTown_2026_HOG_1;money=2;Fun10_HOG_1;MusicBoxTown_2026_HOG_1;;;
;/quest_action/Fun/Fun10/search_Fun10_HOG_1.proto.js;/quest_action/Fun/MusicBoxTown_2026/search_MusicBoxTown_2026_HOG_2.proto.js;search_MusicBoxTown_2026_HOG_2;money=2;Fun10_HOG_1;MusicBoxTown_2026_HOG_2;;;

