;Квест группа;;;;;;Перечислить квесты текущей квест группы награды которых будут отображены на странице журнала.;Условие старта квеста на странице журанала;Текст на странице журанала после завршения квеста.;;;;;;;;;;;;;;;;;;
ml;string;string;string;string;string;string;array_of_values;string;string;;;;;;;;;;;;;;;;;;
;input;output;title;description;description_complete;description_spoil;extra.quest_reward_prewiew;extra.description_condition;extra.description_complete;;;;;;;;;;;;;;;;;;
;/quest_group/fun/Fun13_Story_1.proto.js;/quest_group/fun/MusicBoxTown_2026_pack_001.proto.js;Городок в табакерке;Герои уменьшились и попали в музыкальный городок внутри табакерки. Вместе с жителями они осваиваются в новом масштабе, чинят пружинный переполох и готовят Большой перезвон.;Путь к площади открыт, пружинный переполох остановлен, а Большой перезвон снова звучит ровно. Жители празднуют, а герои находят схему следующего маршрута внутри табакерки.;В этом паке герои становятся маленькими гостями Городка в табакерке, помогают жителям восстановить ритм механизма и получают подсказку, куда двигаться дальше.;;Герои уменьшились и попали в музыкальный городок внутри табакерки. Вместе с жителями они осваиваются в новом масштабе, чинят пружинный переполох и готовят Большой перезвон.;Путь к площади открыт, пружинный переполох остановлен, а Большой перезвон снова звучит ровно. Жители празднуют, а герои находят схему следующего маршрута внутри табакерки.;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Квест 1;;;;;;;;;;;;;;;;;;;;;;;;;;
sl;string;string;string;string;string;string;string;;;;;;;;;;;;;;;;;;;;
;input;output;title;description;congratulation;helper;extra.sequence_icon;;;;;;;;;;;;;;;;;;;;
;/quest/generated/MusicBoxTown_2026/story_1/MusicBoxTown_2026_Story_1.proto.js;/quest/generated/MusicBoxTown_2026/story_1/MusicBoxTown_2026_Story_1.proto.js;Порог размером с булавку;Тик! Так! Тик! Так! Посторонние великаны размером с пуговицу обнаружены у входной дорожки! Прошу не паниковать, паника выбивает расписание на три четверти оборота. Вы уменьшились из-за заводного ключика, который повернули не в ту сторону. Дойдите до площади аккуратно: здесь даже обычная булавка ведёт себя как фонарный столб!;Отлично, вы добрались без опоздания и почти без перекатывания по латунной дорожке. Для первого дня в табакерке это выдающийся результат! Теперь можно официально считать вас маленькими гостями городка, а не крупной механической неожиданностью.;MusicBoxTown_2026_Character_1;MagazinePage_MusicBoxTown_2026_QuestIcon_1;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 1;Диалог;;;РЕПЛИКА ДИАЛОГА: Тик! Так! Тик! Так! Посторонние великаны размером с пуговицу обнаружены у входной дорожки! Прошу не паниковать, паника выбивает расписание на три четверти оборота. Вы уменьшились из-за заводного ключика, который повернули не в ту сторону. Дойдите до площади аккуратно: здесь даже обычная булавка ведёт себя как фонарный столб!;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.0;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/MusicBoxTown_2026/story_1/MusicBoxTown_2026_Story_1.proto.js;/quest/generated/MusicBoxTown_2026/story_1/MusicBoxTown_2026_Story_1.proto.js;type;action;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;MusicBoxTown_2026_Character_1;;;;;;;;;;;;;;;;;;;;;;;
;;;action;MusicBoxTown_2026_Character_1_Dialog_1;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Поговори с Часовщиком Тик-Таком;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Поговори с Часовщиком Тик-Таком. Для этого просто кликни на него. Он находится в Мастерская.;;;;;;;;;;;;;;;;;;;;;;;
;;;go_to_location;"[{""classname"":""MusicBoxTown_2026_Character_1""}]";;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 2;HOG на локации;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.1;;;;;;;;;;;;;;;;;;;;;;;;
