;Квест группа;;;;;;Перечислить квесты текущей квест группы награды которых будут отображены на странице журнала.;Условие старта квеста на странице журанала;Текст на странице журанала после завршения квеста.;;;;;;;;;;;;;;;;;;
ml;string;string;string;string;string;string;array_of_values;string;string;;;;;;;;;;;;;;;;;;
;input;output;title;description;description_complete;description_spoil;extra.quest_reward_prewiew;extra.description_condition;extra.description_complete;;;;;;;;;;;;;;;;;;
;/quest_group/fun/Fun13_Story_1.proto.js;/quest_group/fun/StoneGnome_2026_pack_001.proto.js;Подземные гномы и хрустальные чудеса;Шапокляк случайно открыла старинный люк в подвале — и за ним оказался целый подземный город бородатых гномов! Они мастера по стеклу и драгоценным камням, но сейчас у них беда: печь треснула, рубины раскатались, а стеклянная лестница слишком прозрачная. Домовёнок, поможешь новым друзьям навести порядок в их сказочном городке?;Всё наладилось! Печь задымилась весёлым огнём, рубины снова сияют, а лестница теперь безопасная и красивая. Гномы устроили прощальный пир со светящимися фонарями — и даже Дед Домовед растаял и потанцевал. Тоннель в подземный мир теперь всегда открыт для друзей!;Ой, в лабиринте мы заплутали, Борька споткнулся о бороду и рассыпал последние кристаллы, а Мирослав в панике разбил свою лестницу... В следующий раз нужно взять с собой фонарик побольше и шнурок для бороды!;;Шапокляк случайно открыла старинный люк в подвале — и за ним оказался целый подземный город бородатых гномов! Они мастера по стеклу и драгоценным камням, но сейчас у них беда: печь треснула, рубины раскатались, а стеклянная лестница слишком прозрачная. Домовёнок, поможешь новым друзьям навести порядок в их сказочном городке?;Всё наладилось! Печь задымилась весёлым огнём, рубины снова сияют, а лестница теперь безопасная и красивая. Гномы устроили прощальный пир со светящимися фонарями — и даже Дед Домовед растаял и потанцевал. Тоннель в подземный мир теперь всегда открыт для друзей!;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Квест 1;;;;;;;;;;;;;;;;;;;;;;;;;;
sl;string;string;string;string;string;string;string;;;;;;;;;;;;;;;;;;;;
;input;output;title;description;congratulation;helper;extra.sequence_icon;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_1/StoneGnome_2026_Story_1.proto.js;/quest/generated/StoneGnome_2026/story_1/StoneGnome_2026_Story_1.proto.js;Люк в подвале;Домовёнок, ты только посмотри! Я тут пяткой по полу постучала — и люк открылся! Там внизу что-то блестит, переливается, я даже глазам не поверила! Поможешь убрать вокруг мусор и всё подготовить? А то я одна туда не полезу, мне ж страшно... ну, чуть-чуть страшно, но очень интересно!;Ура, дорожка свободна! Теперь точно спустимся и увидим все эти чудеса! Спасибо, дружок, без тебя бы я только верхушку люка разглядывала.;StoneGnome_2026_Character_1;MagazinePage_StoneGnome_2026_QuestIcon_1;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 1;Диалог;;;РЕПЛИКА ДИАЛОГА: Домовёнок, ты только посмотри! Я тут пяткой по полу постучала — и люк открылся! Там внизу что-то блестит, переливается, я даже глазам не поверила!;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.0;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/StoneGnome_2026/story_1/StoneGnome_2026_Story_1.proto.js;/quest/generated/StoneGnome_2026/story_1/StoneGnome_2026_Story_1.proto.js;type;action;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;StoneGnome_2026_Character_1;;;;;;;;;;;;;;;;;;;;;;;
;;;action;StoneGnome_2026_Character_1_Dialog_1;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Поговори с Шапокляк;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Поговори с Шапокляк. Для этого просто кликни на него. Он находится в Хижина Чинга.;;;;;;;;;;;;;;;;;;;;;;;
;;;go_to_location;"[{""classname"":""StoneGnome_2026_Character_1""}]";;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
