;Квест 4;;;;;;;;;;;;;;;;;;;;;;;;;;
sl;string;string;string;string;string;string;string;;;;;;;;;;;;;;;;;;;;
;input;output;title;description;congratulation;helper;extra.sequence_icon;;;;;;;;;;;;;;;;;;;;
;/quest/generated/MeatballRain_2026/story_4/MeatballRain_2026_Story_4.proto.js;/quest/generated/MeatballRain_2026/story_4/MeatballRain_2026_Story_4.proto.js;Огуречный гром;Домовёнок, ты только послушай: у меня в лесу теперь не листья шуршат, а огурцы хрустят! С неба падают зелёные солёные снаряды, грибы в рассоле прячутся под корнями, а белки требуют вилки. Надо понять, откуда эта закуска летит.;Так, первые следы нашли. Рассол бодрый, огурцы строевые, помидорчики подозрительно круглые. Это уже не погода, а чей-то буфет на облаках.;MeatballRain_2026_Character_2;MagazinePage_MeatballRain_2026_QuestIcon_1;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 1;Диалог;;;РЕПЛИКА ДИАЛОГА: Домовёнок, в лесу теперь не листья шуршат, а огурцы хрустят! С неба летит рассольная артиллерия, грибы прячутся под корнями, а белки уже требуют вилки. Давай выясним, кто устроил этот небесный погреб.;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.0;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/MeatballRain_2026/story_4/MeatballRain_2026_Story_4.proto.js;/quest/generated/MeatballRain_2026/story_4/MeatballRain_2026_Story_4.proto.js;type;action;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;MeatballRain_2026_Character_2;;;;;;;;;;;;;;;;;;;;;;;
;;;action;MeatballRain_2026_Character_2_Dialog_1;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Поговори с Лешим;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Поговори с Лешим. Для этого просто кликни на него. Он находится в локации Хата.;;;;;;;;;;;;;;;;;;;;;;;
;;;go_to_location;"[{""classname"":""MeatballRain_2026_Character_2""}]";;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 2;HOG на локации;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.1;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/MeatballRain_2026/story_4/MeatballRain_2026_Story_4.proto.js;/quest/generated/MeatballRain_2026/story_4/MeatballRain_2026_Story_4.proto.js;type;action;;;;;;;;;;;;;;;;;;;;;;;
;;;action;clean_debris;;;;;;;;;;;;;;;;;;;;;;;
;;;param;MeatballRain_2026_HOG_2;;;;;;;;;;;;;;;;;;;;;;;
;;;search_action;search_MeatballRain_2026_HOG_2;;;;;;;;;;;;;;;;;;;;;;;
;;;after_buy_actions;"[{""do"":""remove_stuff"",""classname"":""MeatballRain_2026_HOG_2""}]";;;;;;;;;;;;;;;;;;;;;;;
;;;amount;15;;;;;;;;;;;;;;;;;;;;;;;
;;;price;20;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Найди огуречные следы;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Найди огуречные следы. Место поиска: Хата. Если найти все не удаётся, можно купить подсказку.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 3;Уборка конкретного мусора в гостях;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.2;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/MeatballRain_2026/story_4/MeatballRain_2026_Story_4.proto.js;/quest/generated/MeatballRain_2026/story_4/MeatballRain_2026_Story_4.proto.js;type;garbage;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;MushroomCommon;;;;;;;;;;;;;;;;;;;;;;;
;;;in_guest;1;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;20;;;;;;;;;;;;;;;;;;;;;;;
;;;price;20;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Убери мусор Грибы в гостях;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Убери мусор Грибы в гостях. Для этого просто кликни на нужный мусор в гостях у друга. Место поиска: Хата.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Квест 5;;;;;;;;;;;;;;;;;;;;;;;;;;
sl;string;string;string;string;string;string;string;;;;;;;;;;;;;;;;;;;;
;input;output;title;description;congratulation;helper;extra.sequence_icon;;;;;;;;;;;;;;;;;;;;
;/quest/generated/MeatballRain_2026/story_5/MeatballRain_2026_Story_5.proto.js;/quest/generated/MeatballRain_2026/story_5/MeatballRain_2026_Story_5.proto.js;Помидорная осада;Домовёнок, это возмутительно! По моим владениям барабанят помидорчики, будто я сам пригласил овощную артиллерию. У меня, между прочим, порядок: золото отдельно, соленья отдельно, паника вообще под замком. Помоги найти источник этой красной осады.;След найден. Помидорчики летят не случайно: их словно выталкивает из небесной банки. Нужна крышка, печать или очень убедительный взгляд. С последним я помогу.;;MagazinePage_MeatballRain_2026_QuestIcon_1;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 1;Уборка конкретного мусора дома;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.0;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/MeatballRain_2026/story_5/MeatballRain_2026_Story_5.proto.js;/quest/generated/MeatballRain_2026/story_5/MeatballRain_2026_Story_5.proto.js;type;garbage;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;BrokenBank;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;15;;;;;;;;;;;;;;;;;;;;;;;
;;;price;20;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Убери мусор Разбитая банка дома;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Убери мусор Разбитая банка дома. Для этого просто кликни на нужный мусор дома. Место поиска: Погребок.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 2;Получить элемент коллекции (зависит от редкости);;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.1;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/MeatballRain_2026/story_5/MeatballRain_2026_Story_5.proto.js;/quest/generated/MeatballRain_2026/story_5/MeatballRain_2026_Story_5.proto.js;type;get_asset;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;GoldfishCollection5;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;GoldfishCollection5;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;8;;;;;;;;;;;;;;;;;;;;;;;
;;;price;20;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Найди Селедку под шубой;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Селедка под шубой - элемент коллекции, выпадает при уборке мусора Золотая рыбка дома. Место поиска: Омут.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Таск 3;GR с конкретного мусора в гостях;;;;;;;;;;;;;;;;;;;;;;;;;
ml;string;string;object;;;;;;;;;;;;;;;;;;;;;;;;
;input;output;tasks.2;;;;;;;;;;;;;;;;;;;;;;;;
;/quest/generated/MeatballRain_2026/story_5/MeatballRain_2026_Story_5.proto.js;/quest/generated/MeatballRain_2026/story_5/MeatballRain_2026_Story_5.proto.js;type;get_asset;;;;;;;;;;;;;;;;;;;;;;;
;;;classname;MeatballRain_2026_GR_3;;;;;;;;;;;;;;;;;;;;;;;
;;;icon;MeatballRain_2026_GR_3;;;;;;;;;;;;;;;;;;;;;;;
;;;amount;25;;;;;;;;;;;;;;;;;;;;;;;
;;;price;30;;;;;;;;;;;;;;;;;;;;;;;
;;;title;Найди Серебряную солонку;;;;;;;;;;;;;;;;;;;;;;;
;;;hint;Убирай мусор Родированное серебро в гостях, чтобы найти. Место поиска: Обзорная.;;;;;;;;;;;;;;;;;;;;;;;
;;;identifier;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Квест 6;;;;;;;;;;;;;;;;;;;;;;;;;;
sl;string;string;string;string;string;string;string;;;;;;;;;;;;;;;;;;;;
;input;output;title;description;congratulation;helper;extra.sequence_icon;;;;;;;;;;;;;;;;;;;;
