"Название пака квестов ""Велесова ночь"" - Veles_2024_Story";Нейминг Veles_2024_Story_1, Veles_2024_Story_1 и тд;;;
title quest;description;congratulation;Character;"
dialogue text"
Первые приготовления;Дорогой друг, Велесова ночь близко. В эту ночь мы должны подготовить наш дом, чтобы встретить духов с уважением и почетом. Поможешь нам прибраться и украсить дом?;Благодарю тебя, дом теперь сияет. Велес будет доволен нашим трудом.;Ведятя;Ведятя: Граница между миром Яви и Нави истончается, скоро Чернобог обретет великую силу. Чтобы защитить границу миров, Велес - страж завесы, распорядился провести обряды защитные. Помоги нам мир Яви сберечь.
;;;;
;;;;
Зажжение свечей;Эти свечи — наша надежда на свет в темноте. Их пламя отпугнет злых духов. Поможешь зажечь их по всему дому?;Посмотри, как они горят! Свечи создают уют и защищают нас, придавая дому особое волшебство.;Куйгорож;
;;;;
;;;;
Костёр Велеса;В эту ночь мы зажжём костёр в честь Велеса. Огонь его защитит нас от тёмных духов, пока они не вернутся обратно в Навь. Собери сухие ветви и травы, чтобы костёр горел до самого утра.;Костёр Велеса горит, и его свет оберегает нас. Теперь духи знают, что здесь их ждут. Но помни, это только малая часть нашей подготовки.;Ведятя;
;;;;
;;;;
Дар для Велеса;Знаешь ли ты, что рябиновые ветви защищают от злых духов? Нам нужно собрать их и принести в дар Велесу, прежде чем граница между мирами истончится. Я покажу тебе, где они растут.;Ты великолепно справился! Теперь дом окружен защитой идола Велеса, и мы можем спокойно ждать гостей из Нави.;Куйгорож;
;;;;
;;;;
Путешествие в мир Нави;Нам нужно узнать, что замышляют духи. Отправляйся в Навь, но будь осторожен и возвращайся с новостями.;Ты вернулся с важными сведениями. Теперь мы знаем, чего ожидать, и можем подготовиться.;Ведятя;
;;;;
;;;;
Вестники Чернобога;Чернобог уже расставил свои ловушки в нашем лесу. Если мы не найдём их символы, они принесут несчастье всей деревне. Поспеши, друг мой, тьма уже рядом.;Чернобог хотел обмануть нас, но ты разрушил его замыслы. Тьма ослабела, но не исчезла... будь начеку;Куйгорож;
;;;;
;;;;
Помощь друзьям-домовятам;Наши друзья тоже готовятся к празднику. Посети их и помоги сделать их дома такими же уютными и защищенными.;Все друзья готовы к Велесовой ночи. Вместе мы создаем безопасное пространство для всех.;Ведятя;
;;;;
;;;;
Создание защитных амулетов;Магические амулеты помогут нам в эту ночь. Собери нужные компоненты, и я научу тебя премудростям их создания.;С твоей помощью амулеты готовы. Их сила будет оберегать нас от любых опасностей.;Куйгорож;
;;;;
;;;;
Волшебство цветов;В книге описаны цветы, да не простые — они укрепят границу между мирами. Только картинки почти стёрлись. Давай попробуем найти их, чтобы усилить нашу защиту.;Цветы точно те, их магия уже ощущается в воздухе. Они подарят нам надежную защиту на всю ночь.;Ведятя;
;;;;
;;;;
Послания от предков;Слышишь шёпоты, друг мой? Это наши предки возвращаются. Но они не могут прийти без своих вещей. Найди предметы, что помогут им пересечь границу между Явью и Навью.;Хорошо... теперь предки смогут прийти к нам на праздник. Они всегда с нами, даже если мы их не видим;Куйгорож;
;;;;
;;;;
Трапеза для духов;Наши предки требуют трапезы, чтобы присоединиться к нам за столом. Это важный ритуал, который нельзя пренебрегать. Иди в лес и собери ингредиенты, чтобы приготовить священную еду для духов.;Духи приняли подношение. Их голоса стали мягче, а мир — спокойнее.;Ведятя;
;;;;
;;;;
Мудрость предков;Предки довольны передают частичку своей мудрости. Чтобы понять их наставления, нужно разгадать их загадки.;Всё теперь стало понятно. Мудрость предков тебе становится ясна.;Куйгорож;
;;;;
;;;;
Укрепление границы миров;Мы можем укрепить границу между мирами, если объединим усилия. Поможешь нам завершить эту важную задачу?;Благодаря тебе граница укреплена, и миры вновь в безопасности. Велес очень доволен.;Ведятя;
;;;;
;;;;
Пасхальный переполох КВЕСТЫ НАЗВАТЬ Easter_2025_Story_1 и тд;;;;
title_quest;description;congratulation;Хелпер;
Взрыв красок;Эх, домовятушка, хотела избу к Пасхе раскрасить — да рецепт краски с сонным зельем перепутала! Теперь тут не праздник, а кислотный кошмар! Поможешь отмыть? А то гости подумают, что к меня тут дискотека!;Вот это да! Спасибо, дружок! Теперь хоть кулич на фоне не потеряется!;Баба яга;
;;;;
;;;;
Яйца-невидимки;Домовёнок, беда! Я покрасил яйца под цвет мха — теперь найти не могу куда я их отложил! Помоги собрать, а то я без крашеных яиц на пасху окажусь...;Ух ты! Нашлась пропажа.  хорошо, что ты такой зоркий;Леший;
;;;;
;;;;
"Скороспелые цыплята
";Достиг я величия, домовёнок! Моя краска для яиц великолепно блестит, но есть побочный эффект... Из яиц мгновенно вылупляются цыплята! Они теперь по замку как ураган носятся. Лови их!;Спасибо. Может мне теперь курятник построить?;Кощей;
;;;;
;;;;
Яйцо-великан;Ну, дружок, переборщила я с лунными кристаллами увеличения... Теперь это чудо даже в котёл не влезает! Придётся его на омлет пустить... ;Отлично. Из скорлупы можно стулья сделать или баню перекрыть, еще подумаю...;Баба яга;
;;;;
;;;;
"Непроходимая чаща
";"Домовёнок, беда! Тропу к моей поляне осока с папоротником захватили! Расчисти путь, а то гости заблудятся и не дойдут ко мне на Пасху
";Спасибо, тропинка теперь проходима стала. Ловко ты прорубил ты окно в мою чащу;Леший;
;;;;
;;;;
"Потерянный ключ от сокровищницы
";Все золото мира у меня в сокровищнице, а ключ — исчез! Без него яица не позолотить... Найди его, домовёнок, или мои яички на Пасху не будут самыми шикарными. Этого допустить нельзя!;Так вот где он был! Видимо, выронил пока ходил на рыбалку... Благодарю за помощь;Кощей;
;;;;
;;;;
Зайцы-беглецы;"Домовятушка, беда! Зелье для быстрой покраски пасхальных яиц ораву зайцев приманило — те теперь как угорелые носятся и за моими яичками охотятся! Лови их, пока все яйца не перетаскали!
";Фух, яйца вернули... А одного зайца я оставлю. Пусть со мной живёт, веселее будет.;Баба яга;
;;;;
;;;;
Ягодная пастила;Домовёнок, я насобирал ягод, да вот беда — они кислющие как лимон! Помоги пастилу сделать, а то гости морщиться будут, а мне потом на их кислые мины любоваться придётся.;Сладость получилась на зависть! А то я уже думал, их в компост пустить...;Леший;
;;;;
;;;;
Катание яиц с горки;"Домовёнок, я устрою соревнование, которое войдёт в легенды! Найди ка мне самые быстрые яички. Негоже будет в собственной забаве проиграть!
";Удачно мы яйца подобрали, они самыми быстрыми оказались!;Кощей;
;;;;
;;;;
"Лунный кулич
";"Домовёнок, беда! Добавила лунной пыли для пышности, а кулич теперь как фонарь светится! Помоги присыпку сделать, а то гости ослепнут раньше, чем попробуют!
";Хоть и выглядел он странновато и опасно, на вкус получился отменный.;Баба яга;
;;;;
;;;;
 Накрыт пасхальный стол;К домовёнку гости пришли и в благодарность за помощь, гостинцы принесли. Праздник светлой пасхи отмечать вместе будем;«Христос воскрес!» - «Воистину воскрес!» звучит повсюду;Дед домодед;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
